[2025-03-02 19:07:56] [PY] 成功转换: paper_079e8f65-472d-4b85-90b4-da0ace63f96b.pdf
[2025-03-02 19:07:56] [PY] 成功转换: paper_2eb19498-e0a5-46b3-b371-4844b0315d17.pdf
[2025-03-02 19:07:56] [PY] 成功转换: paper_5b6a5ca2-cc55-4728-8324-2a1dd04e31d6.pdf
[2025-03-02 19:07:56] [PY] 跳过已存在文件: paper_7be1c0ad-91c3-49c6-bc99-69f0353783df.pdf
[2025-03-02 19:07:56] 转换成功完成
[2025-03-02 19:12:44] [PY] 跳过已存在文件: paper_079e8f65-472d-4b85-90b4-da0ace63f96b.pdf
[2025-03-02 19:12:44] [PY] 跳过已存在文件: paper_2eb19498-e0a5-46b3-b371-4844b0315d17.pdf
[2025-03-02 19:12:44] [PY] 跳过已存在文件: paper_5b6a5ca2-cc55-4728-8324-2a1dd04e31d6.pdf
[2025-03-02 19:12:44] [PY] 跳过已存在文件: paper_7be1c0ad-91c3-49c6-bc99-69f0353783df.pdf
[2025-03-02 19:12:44] [PY] 成功转换: paper_8078c00d-d158-4f6f-b1f0-ababda0f62ac.pdf
[2025-03-02 19:12:44] 转换成功完成
[2025-03-02 19:16:36] [PY] 跳过已存在文件: paper_079e8f65-472d-4b85-90b4-da0ace63f96b.pdf
[2025-03-02 19:16:36] [PY] 成功转换: paper_16d2d641-4cb0-4ebc-a02b-7d56593023c2.pdf
[2025-03-02 19:16:36] [PY] 跳过已存在文件: paper_2eb19498-e0a5-46b3-b371-4844b0315d17.pdf
[2025-03-02 19:16:36] [PY] 跳过已存在文件: paper_5b6a5ca2-cc55-4728-8324-2a1dd04e31d6.pdf
[2025-03-02 19:16:36] [PY] 跳过已存在文件: paper_7be1c0ad-91c3-49c6-bc99-69f0353783df.pdf
[2025-03-02 19:16:36] [PY] 跳过已存在文件: paper_8078c00d-d158-4f6f-b1f0-ababda0f62ac.pdf
[2025-03-02 19:16:36] 转换成功完成
[2025-03-02 19:20:08] [PY] 跳过已存在文件: paper_079e8f65-472d-4b85-90b4-da0ace63f96b.pdf
[2025-03-02 19:20:08] [PY] 跳过已存在文件: paper_16d2d641-4cb0-4ebc-a02b-7d56593023c2.pdf
[2025-03-02 19:20:08] [PY] 跳过已存在文件: paper_2eb19498-e0a5-46b3-b371-4844b0315d17.pdf
[2025-03-02 19:20:08] [PY] 跳过已存在文件: paper_5b6a5ca2-cc55-4728-8324-2a1dd04e31d6.pdf
[2025-03-02 19:20:08] [PY] 成功转换: paper_6367026f-9939-4eaa-9b36-edfc06081ddb.pdf
[2025-03-02 19:20:08] [PY] 跳过已存在文件: paper_7be1c0ad-91c3-49c6-bc99-69f0353783df.pdf
[2025-03-02 19:20:08] [PY] 跳过已存在文件: paper_8078c00d-d158-4f6f-b1f0-ababda0f62ac.pdf
[2025-03-02 19:20:08] 转换成功完成
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_079e8f65-472d-4b85-90b4-da0ace63f96b.pdf
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_16d2d641-4cb0-4ebc-a02b-7d56593023c2.pdf
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_2eb19498-e0a5-46b3-b371-4844b0315d17.pdf
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_5b6a5ca2-cc55-4728-8324-2a1dd04e31d6.pdf
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_6367026f-9939-4eaa-9b36-edfc06081ddb.pdf
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_7be1c0ad-91c3-49c6-bc99-69f0353783df.pdf
[2025-03-03 21:34:05] [PY] 跳过已存在文件: paper_8078c00d-d158-4f6f-b1f0-ababda0f62ac.pdf
[2025-03-03 21:34:05] [PY] 成功转换: paper_961e3e29-b8f8-4448-b569-2ff1a72badde.pdf
[2025-03-03 21:34:05] 转换成功完成
[2025-03-04 15:15:13] [PY] 成功转换: paper_8e1a8e36-6dd4-4d33-8d1d-aabe45a278fc.pdf
[2025-03-04 15:15:13] 转换成功完成
[2025-03-04 15:17:49] [PY] 跳过已存在文件: paper_8e1a8e36-6dd4-4d33-8d1d-aabe45a278fc.pdf
[2025-03-04 15:17:49] [PY] 成功转换: paper_a93cfcb8-8446-42b1-9029-929f22cf9afc.pdf
[2025-03-04 15:17:49] 转换成功完成
[2025-03-04 15:20:04] [PY] 跳过已存在文件: paper_8e1a8e36-6dd4-4d33-8d1d-aabe45a278fc.pdf
[2025-03-04 15:20:04] [PY] 成功转换: paper_a820c48f-4911-4aa1-9e6e-a256ac46db2a.pdf
[2025-03-04 15:20:04] [PY] 跳过已存在文件: paper_a93cfcb8-8446-42b1-9029-929f22cf9afc.pdf
[2025-03-04 15:20:04] 转换成功完成
[2025-03-04 15:25:15] [PY] 跳过已存在文件: paper_8e1a8e36-6dd4-4d33-8d1d-aabe45a278fc.pdf
[2025-03-04 15:25:15] [PY] 跳过已存在文件: paper_a820c48f-4911-4aa1-9e6e-a256ac46db2a.pdf
[2025-03-04 15:25:15] [PY] 跳过已存在文件: paper_a93cfcb8-8446-42b1-9029-929f22cf9afc.pdf
[2025-03-04 15:25:15] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第1页
[2025-03-04 15:25:16] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第2页
[2025-03-04 15:25:17] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第3页
[2025-03-04 15:25:18] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第4页
[2025-03-04 15:25:18] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第5页
[2025-03-04 15:25:20] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第6页
[2025-03-04 15:25:22] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第7页
[2025-03-04 15:25:23] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第8页
[2025-03-04 15:25:24] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第9页
[2025-03-04 15:25:26] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第10页
[2025-03-04 15:25:26] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第11页
[2025-03-04 15:25:27] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第12页
[2025-03-04 15:25:27] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第13页
[2025-03-04 15:25:28] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第14页
[2025-03-04 15:25:30] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第15页
[2025-03-04 15:25:32] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第16页
[2025-03-04 15:25:33] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第17页
[2025-03-04 15:25:35] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第18页
[2025-03-04 15:25:37] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第19页
[2025-03-04 15:25:38] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第20页
[2025-03-04 15:25:40] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第21页
[2025-03-04 15:25:42] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第22页
[2025-03-04 15:25:43] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第23页
[2025-03-04 15:25:45] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第24页
[2025-03-04 15:25:47] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第25页
[2025-03-04 15:25:49] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第26页
[2025-03-04 15:25:51] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第27页
[2025-03-04 15:25:52] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第28页
[2025-03-04 15:25:54] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第29页
[2025-03-04 15:25:55] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第30页
[2025-03-04 15:25:57] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第31页
[2025-03-04 15:25:59] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第32页
[2025-03-04 15:26:00] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第33页
[2025-03-04 15:26:01] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第34页
[2025-03-04 15:26:02] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第35页
[2025-03-04 15:26:04] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第36页
[2025-03-04 15:26:05] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第37页
[2025-03-04 15:26:06] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第38页
[2025-03-04 15:26:07] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第39页
[2025-03-04 15:26:09] [PY] OCR处理中: paper_f1d9673c-dce6-499d-9140-90dd6d263d5a.pdf 第40页
